id,anio,mes,maquina,central,agente,agente_descripcion,tipo_maquina,fuente_generacion,tecnologia,combustible,consumo,fecha_proceso,lote_id_log,indice_tiempo
222933,2019,10,NESPDI02,NESP,EDESAEGG,EMP.DIS.S.ESTERO GENERACION,MOTOR DIESEL,Térmica,DI,GAS OIL,237.552,2020-05-05 11:07:07.467556,67,2019-10
222934,2019,10,ZARATG01,ZARA,CTPALM2G,CT LAS PALMAS 2 - ARAUCARIA,TURBO GAS,Térmica,TG,GAS NATURAL,261.529,2020-05-05 11:07:07.467556,67,2019-10
222935,2019,10,ZARATG01,ZARA,CTPALM2G,CT LAS PALMAS 2 - ARAUCARIA,TURBO GAS,Térmica,TG,GAS OIL,89.864,2020-05-05 11:07:07.467556,67,2019-10
222936,2019,10,ZARATG02,ZARA,CTPALM2G,CT LAS PALMAS 2 - ARAUCARIA,TURBO GAS,Térmica,TG,GAS NATURAL,64.589,2020-05-05 11:07:07.467556,67,2019-10
222937,2019,10,ZARATG02,ZARA,CTPALM2G,CT LAS PALMAS 2 - ARAUCARIA,TURBO GAS,Térmica,TG,GAS OIL,103.027,2020-05-05 11:07:07.467556,67,2019-10
222938,2019,10,ZARATG03,ZARA,CTPALM2G,CT LAS PALMAS 2 - ARAUCARIA,TURBO GAS,Térmica,TG,GAS NATURAL,30.595,2020-05-05 11:07:07.467556,67,2019-10
222939,2019,10,ZARATG03,ZARA,CTPALM2G,CT LAS PALMAS 2 - ARAUCARIA,TURBO GAS,Térmica,TG,GAS OIL,98.596,2020-05-05 11:07:07.467556,67,2019-10
222940,2019,10,ZARATG04,ZARA,CTPALM2G,CT LAS PALMAS 2 - ARAUCARIA,TURBO GAS,Térmica,TG,GAS NATURAL,179.371,2020-05-05 11:07:07.467556,67,2019-10
222941,2019,10,ZARATG04,ZARA,CTPALM2G,CT LAS PALMAS 2 - ARAUCARIA,TURBO GAS,Térmica,TG,GAS OIL,64.979,2020-05-05 11:07:07.467556,67,2019-10
222942,2019,10,LVICDI01,LVIC,EDELARFG,EDELAR GENERACION,MOTOR DIESEL,Térmica,DI,GAS OIL,122.525,2020-05-05 11:07:07.467556,67,2019-10
222943,2019,10,MILADI01,MILA,EDELARFG,EDELAR GENERACION,MOTOR DIESEL,Térmica,DI,GAS OIL,15.025,2020-05-05 11:07:07.467556,67,2019-10
222944,2019,10,LUJBTG01,LUJB,CTLUJA2G,CT LUJAN II - ARAUCARIA ENERGY,TURBO GAS,Térmica,TG,GAS NATURAL,67.673,2020-05-05 11:07:07.467556,67,2019-10
222945,2019,10,LUJBTG02,LUJB,CTLUJA2G,CT LUJAN II - ARAUCARIA ENERGY,TURBO GAS,Térmica,TG,GAS NATURAL,35.317,2020-05-05 11:07:07.467556,67,2019-10
222946,2019,10,MAT3TG01,MAT3,CTMATH3G,CT MATHEU III - ARAUCARIA ENER,TURBO GAS,Térmica,TG,GAS NATURAL,36.373,2020-05-05 11:07:07.467556,67,2019-10
222947,2019,10,MAT3TG02,MAT3,CTMATH3G,CT MATHEU III - ARAUCARIA ENER,TURBO GAS,Térmica,TG,GAS NATURAL,35.898,2020-05-05 11:07:07.467556,67,2019-10
222948,2019,10,MAT3TG03,MAT3,CTMATH3G,CT MATHEU III - ARAUCARIA ENER,TURBO GAS,Térmica,TG,GAS NATURAL,28.008,2020-05-05 11:07:07.467556,67,2019-10
222949,2019,10,MAT3TG04,MAT3,CTMATH3G,CT MATHEU III - ARAUCARIA ENER,TURBO GAS,Térmica,TG,GAS NATURAL,17.67,2020-05-05 11:07:07.467556,67,2019-10
222950,2019,10,ROJOTG04,ROJO,CTGROJ2G,CT GENERAL ROJO CIERRE CC,TURBO GAS,Térmica,TG,GAS NATURAL,8672.585,2020-05-05 11:07:07.467556,67,2019-10
222951,2019,10,VMA2TG04,VMA2,CTVMAR2G,CT VILLA MARIA CIERRE CC-UENSA,TURBO GAS,Térmica,TG,GAS NATURAL,7052.692,2020-05-05 11:07:07.467556,67,2019-10
222952,2019,10,VMA2TG04,VMA2,CTVMAR2G,CT VILLA MARIA CIERRE CC-UENSA,TURBO GAS,Térmica,TG,GAS OIL,24.695,2020-05-05 11:07:07.467556,67,2019-10
222953,2019,10,GEBATG04,GEBA,GENELCTG,GENELBA - RES.287,TURBO GAS,Térmica,TG,GAS NATURAL,28154.908,2020-05-05 11:07:07.467556,67,2019-10
222954,2019,10,BRKETG04,BRKE,CTBARK2G,CT BARKER CIERRE CC,TURBO GAS,Térmica,TG,GAS NATURAL,5427.431,2020-05-05 11:07:07.467556,67,2019-10
222955,2019,10,MANBDI01,MANB,YPFTREUA,YPF EL TREBOL CT MANANT. BEHR,MOTOR DIESEL,Térmica,DI,GAS NATURAL,3.272,2020-05-05 11:07:07.467556,67,2019-10
222956,2019,10,LDCUTG26,LDCU,LUJCUYOC,LUJAN DE CUYO COGENERAC.PUERTO,TURBO GAS,Térmica,CC,GAS NATURAL,5575.295,2020-05-05 11:07:07.467556,67,2019-10
222957,2019,10,LDCUTG27,LDCU,LUJCUYOC,LUJAN DE CUYO COGENERAC.PUERTO,TURBO GAS,Térmica,CC,GAS NATURAL,4881.702,2020-05-05 11:07:07.467556,67,2019-10
222958,2019,10,LDCUTG27,LDCU,LUJCUYOC,LUJAN DE CUYO COGENERAC.PUERTO,TURBO GAS,Térmica,CC,GAS OIL,62.68,2020-05-05 11:07:07.467556,67,2019-10
